epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
37,3788.67,1.38071,0.83082,0.04056,0.1662,0.77993,0.71333,0.79267,0.46514,1.48055,1.05258,0.03041,0.15548,0.000715761,0.000715761,0.000715761
38,3889.39,1.36624,0.77726,0.03717,0.1528,0.822,0.7453,0.83477,0.51759,1.41765,0.86444,0.02789,0.12692,0.000701588,0.000701588,0.000701588
39,3990.4,1.35449,0.76078,0.03586,0.16369,0.85892,0.77211,0.86309,0.53391,1.38455,0.80611,0.02923,0.128,0.000687222,0.000687222,0.000687222
40,4090.92,1.31768,0.70288,0.03549,0.15744,0.8366,0.78006,0.85287,0.53216,1.39461,0.87641,0.02982,0.15029,0.000672675,0.000672675,0.000672675
41,4191.98,1.28817,0.68918,0.03733,0.152,0.83652,0.78468,0.8607,0.54274,1.34532,0.80693,0.02905,0.12839,0.000657963,0.000657963,0.000657963
42,4292.16,1.27759,0.6811,0.03409,0.14873,0.83421,0.75158,0.83948,0.53504,1.35544,0.86891,0.02883,0.12409,0.000643101,0.000643101,0.000643101
43,4392.03,1.25986,0.65005,0.03578,0.14424,0.88253,0.80309,0.87846,0.57078,1.28958,0.76158,0.02783,0.13586,0.000628101,0.000628101,0.000628101
44,4492.96,1.24862,0.61645,0.03427,0.14583,0.8579,0.76486,0.85607,0.55711,1.30949,0.8346,0.02844,0.12573,0.000612981,0.000612981,0.000612981
45,4594.23,1.21432,0.63118,0.03538,0.14387,0.84632,0.81018,0.88117,0.56805,1.29778,0.77073,0.02827,0.13401,0.000597754,0.000597754,0.000597754
46,4695.39,1.1834,0.58025,0.03583,0.13482,0.88051,0.80796,0.88585,0.58454,1.2748,0.74339,0.02636,0.12918,0.000582435,0.000582435,0.000582435
47,4796.22,1.17699,0.53794,0.03562,0.14944,0.87883,0.81016,0.87434,0.57523,1.28999,0.77826,0.02834,0.14638,0.00056704,0.00056704,0.00056704
48,4896.58,1.1447,0.52137,0.03426,0.1361,0.88234,0.84952,0.91063,0.62045,1.21653,0.66118,0.02595,0.11424,0.000551584,0.000551584,0.000551584
49,4997.3,1.11203,0.49296,0.0338,0.12537,0.8823,0.82379,0.89903,0.6121,1.22071,0.69896,0.02581,0.10916,0.000536081,0.000536081,0.000536081
50,5097.11,1.12056,0.49887,0.0335,0.13335,0.87762,0.77993,0.86652,0.58453,1.24298,0.78878,0.02706,0.11519,0.000520548,0.000520548,0.000520548
51,5197.78,1.08953,0.46553,0.03126,0.11743,0.90716,0.82553,0.89665,0.61595,1.17042,0.67246,0.02673,0.10729,0.000505,0.000505,0.000505
52,5298.62,1.09483,0.48587,0.03285,0.12212,0.88405,0.85394,0.90639,0.62682,1.18171,0.66777,0.02708,0.10485,0.000489452,0.000489452,0.000489452
53,5399.06,1.04889,0.42576,0.03337,0.1109,0.95147,0.81474,0.90669,0.63816,1.1207,0.66935,0.02592,0.09526,0.000473919,0.000473919,0.000473919
54,5500.42,1.02413,0.422,0.03361,0.11797,0.92253,0.84981,0.91764,0.64773,1.1253,0.62376,0.02649,0.09265,0.000458416,0.000458416,0.000458416
55,5602.64,1.02492,0.40523,0.03225,0.11172,0.8887,0.8558,0.91165,0.65235,1.10845,0.63282,0.02575,0.08885,0.00044296,0.00044296,0.00044296
56,5703.63,1.00142,0.41842,0.03261,0.10161,0.94983,0.86295,0.92951,0.66953,1.08186,0.57071,0.02471,0.09569,0.000427565,0.000427565,0.000427565
57,5805.46,1.00648,0.39855,0.03064,0.11298,0.9012,0.87528,0.92064,0.66216,1.10453,0.57517,0.02508,0.09663,0.000412246,0.000412246,0.000412246
58,5905.24,1.0068,0.40725,0.02965,0.10619,0.93316,0.88362,0.93199,0.67819,1.05881,0.55367,0.0242,0.08552,0.000397019,0.000397019,0.000397019
59,6006.58,0.9473,0.36561,0.03061,0.09962,0.93054,0.88473,0.93861,0.6851,1.06509,0.52524,0.02473,0.08893,0.000381899,0.000381899,0.000381899
60,6106.76,0.96773,0.37091,0.03017,0.11255,0.93417,0.87125,0.92773,0.67305,1.06429,0.60957,0.02409,0.09625,0.000366899,0.000366899,0.000366899
61,6209.76,0.94295,0.36877,0.03009,0.10836,0.94288,0.89785,0.93425,0.69101,1.03245,0.54102,0.02423,0.08093,0.000352037,0.000352037,0.000352037
62,6314.75,0.93246,0.35757,0.03143,0.09018,0.96317,0.89243,0.94557,0.71673,0.97578,0.51035,0.02427,0.07598,0.000337325,0.000337325,0.000337325
63,6417.04,0.901,0.33689,0.032,0.08544,0.94368,0.88157,0.93642,0.69932,1.00584,0.48693,0.02526,0.07783,0.000322778,0.000322778,0.000322778
64,6516.49,0.90847,0.33891,0.03325,0.08578,0.94255,0.88027,0.93192,0.69178,1.0135,0.55177,0.0249,0.08382,0.000308412,0.000308412,0.000308412
65,6617.04,0.88477,0.32686,0.0346,0.08918,0.96125,0.90692,0.94543,0.71068,0.98279,0.48892,0.02503,0.07991,0.000294239,0.000294239,0.000294239
66,6718.66,0.86602,0.3413,0.0355,0.08397,0.95049,0.91472,0.95017,0.72842,0.95362,0.46594,0.02412,0.08047,0.000280275,0.000280275,0.000280275
67,6818.8,0.85489,0.3017,0.03219,0.09705,0.94571,0.89934,0.93914,0.70975,0.97387,0.50586,0.02465,0.08974,0.000266532,0.000266532,0.000266532
68,6918.42,0.8423,0.31378,0.03078,0.08472,0.95437,0.88863,0.94088,0.7189,0.9589,0.51005,0.02488,0.08066,0.000253024,0.000253024,0.000253024
69,7019.04,0.84016,0.30648,0.03082,0.07658,0.96395,0.89142,0.9381,0.72056,0.93953,0.51464,0.02402,0.07341,0.000239766,0.000239766,0.000239766
70,7120.05,0.79766,0.27978,0.03194,0.07502,0.94927,0.9029,0.94125,0.72906,0.93297,0.4948,0.02359,0.07596,0.000226769,0.000226769,0.000226769
71,7220.15,0.80834,0.30589,0.03117,0.07674,0.94563,0.90433,0.94696,0.72475,0.94985,0.48239,0.02401,0.07764,0.000214046,0.000214046,0.000214046
72,7320.76,0.78463,0.27372,0.03288,0.07107,0.9629,0.90065,0.95157,0.74072,0.91792,0.44776,0.02369,0.066,0.000201611,0.000201611,0.000201611
73,7420.9,0.79471,0.27468,0.03512,0.06516,0.95045,0.91618,0.95297,0.74851,0.8934,0.44471,0.02395,0.06726,0.000189475,0.000189475,0.000189475
74,7521.69,0.75328,0.26167,0.03319,0.06211,0.96559,0.90229,0.95278,0.74619,0.89808,0.44437,0.02425,0.06928,0.000177651,0.000177651,0.000177651
75,7624.35,0.75916,0.2599,0.03201,0.06653,0.974,0.89842,0.94808,0.74523,0.88532,0.47121,0.02338,0.06485,0.000166149,0.000166149,0.000166149
76,7724.32,0.76303,0.24888,0.03292,0.07345,0.96148,0.92467,0.95165,0.74743,0.87588,0.45142,0.02314,0.0656,0.000154982,0.000154982,0.000154982
77,7824.66,0.73593,0.26879,0.03191,0.06265,0.96475,0.90629,0.95221,0.75304,0.87251,0.44358,0.02364,0.06199,0.000144161,0.000144161,0.000144161
78,7924.84,0.76129,0.24822,0.0332,0.07198,0.96514,0.92083,0.95165,0.75694,0.85768,0.42995,0.02385,0.06259,0.000133695,0.000133695,0.000133695
79,8025.46,0.73362,0.24683,0.03053,0.06758,0.96714,0.91845,0.95422,0.75882,0.85857,0.43644,0.02318,0.06362,0.000123596,0.000123596,0.000123596
80,8126.67,0.72171,0.25993,0.03037,0.06759,0.97525,0.90383,0.95526,0.76446,0.83946,0.43773,0.02344,0.06129,0.000113873,0.000113873,0.000113873
81,8228.24,0.7057,0.24034,0.03141,0.06307,0.97801,0.90507,0.95024,0.76185,0.83935,0.45409,0.02333,0.05962,0.000104537,0.000104537,0.000104537
82,8327.95,0.71227,0.24331,0.0314,0.06608,0.97499,0.90622,0.95465,0.76634,0.82683,0.4529,0.02343,0.06227,9.55951e-05,9.55951e-05,9.55951e-05
83,8429.62,0.70654,0.23419,0.03313,0.06113,0.96036,0.92926,0.95831,0.76959,0.82197,0.42162,0.02329,0.05733,8.70577e-05,8.70577e-05,8.70577e-05
84,8530.34,0.71249,0.2488,0.0321,0.06409,0.95419,0.93014,0.95512,0.76648,0.83022,0.43581,0.02303,0.05762,7.89327e-05,7.89327e-05,7.89327e-05
85,8630.48,0.68086,0.23299,0.03186,0.05733,0.96807,0.91599,0.95167,0.76839,0.81821,0.44203,0.02366,0.05939,7.12282e-05,7.12282e-05,7.12282e-05
86,8730.27,0.70103,0.24124,0.03413,0.06042,0.94073,0.93697,0.95231,0.77065,0.8123,0.43807,0.02333,0.05779,6.39518e-05,6.39518e-05,6.39518e-05
87,8830.61,0.68703,0.24059,0.0329,0.05715,0.97626,0.9122,0.95585,0.7737,0.81578,0.42846,0.02326,0.0555,5.71106e-05,5.71106e-05,5.71106e-05
88,8931.96,0.68516,0.24497,0.03318,0.05277,0.95788,0.93395,0.9559,0.7709,0.82122,0.42559,0.0237,0.05665,5.07115e-05,5.07115e-05,5.07115e-05
89,9032.29,0.67393,0.22346,0.03334,0.06217,0.96404,0.92254,0.95428,0.77103,0.81915,0.42835,0.02329,0.05514,4.47606e-05,4.47606e-05,4.47606e-05
